 20
 1 713
 50 5 120
 38 43 64 3
 39 64 10 16
 40 63 78 17
 41 49 43 14
 42 72 34 19
 43 71 60 20
 44 27 54 20
 45 55 52 17
 46 33 46 20
 47 12 66 19
 48 2 95 14
 49 24 29 19
 50 36 7 6
 10 829
 50 5 120
 1 2 82 8
 2 33 60 12
 3 84 15 4
 4 41 21 10
 5 8 17 10
 6 13 73 16
 7 51 66 16
 8 56 74 9
 9 8 63 11
 10 55 17 3
 11 17 12 12
 12 55 85 3
 13 93 74 18
 14 21 64 10
 15 20 95 15
 16 83 19 20
 17 82 47 6
 18 61 50 17
 19 29 38 12
 20 38 89 13
 21 23 91 11
 22 22 87 17
 23 1 82 13
 24 14 20 2
 25 52 92 12
 26 72 11 13
 27 97 22 12
 28 50 41 2
 29 20 65 12
 30 35 89 13
 31 76 34 11
 32 14 42 5
 33 97 5 12
 34 57 55 16
 35 51 98 9
 36 88 51 14
 37 37 33 6
 38 80 95 6
 39 18 12 14
 40 91 74 20
 41 17 29 20
 42 44 82 17
 43 48 1 2
 44 3 72 18
 45 37 68 15
 46 100 45 8
 47 57 22 13
 48 20 75 18
 49 99 42 16
 50 45 86 2
 11 1006
 100 10 120
 1 6 5 12
 2 36 29 7
 3 61 45 1
 4 97 80 11
 5 51 74 1
 6 11 81 3
 7 18 92 4
 8 28 89 18
 9 25 3 12
 10 98 60 17
 11 3 33 12
 12 84 21 13
 13 88 7 10
 14 37 31 8
 15 78 39 13
 16 59 91 17
 17 87 5 14
 18 5 41 19
 19 80 95 2
 20 7 53 1
 21 11 77 5
 22 25 7 8
 23 8 6 12
 24 52 12 19
 25 63 71 15
 26 33 2 15
 27 31 54 18
 28 69 29 3
 29 50 52 1
 30 21 30 12
 31 14 86 9
 32 33 25 6
 33 94 91 2
 34 42 1 18
 35 59 60 12
 36 36 69 19
 37 61 3 14
 38 88 96 15
 39 73 22 9
 40 72 69 12
 41 7 26 2
 42 38 24 2
 43 45 36 6
 44 99 52 7
 45 48 44 12
 46 70 76 18
 47 51 50 17
 48 53 40 18
 49 39 55 19
 50 47 73 19
 51 70 15 5
 52 50 15 13
 53 83 79 7
 54 67 4 18
 55 23 41 17
 56 41 85 1
 57 50 16 19
 58 83 64 9
 59 30 95 14
 60 47 39 12
 61 20 41 1
 62 97 76 4
 63 88 49 7
 64 54 97 2
 65 44 51 17
 66 14 19 19
 67 60 70 20
 68 83 52 13
 69 18 42 1
 70 71 39 6
 71 94 49 8
 72 28 8 12
 73 88 49 17
 74 33 60 5
 75 50 83 15
 76 57 14 18
 77 58 11 11
 78 57 87 7
 79 52 88 1
 80 89 83 2
 81 31 92 1
 82 26 2 10
 83 61 68 3
 84 37 15 8
 85 60 41 17
 86 51 55 11
 87 56 20 5
 88 19 11 4
 89 21 95 9
 90 42 48 6
 91 48 89 11
 92 37 71 14
 93 6 31 6
 94 47 12 13
 95 2 58 4
 96 27 4 18
 97 28 54 16
 98 61 81 7
 99 79 91 10
 100 78 13 4
 12 966
 100 10 120
 1 17 14 1
 2 86 33 15
 3 46 54 7
 4 11 62 15
 5 58 45 2
 6 94 14 8
 7 100 24 1
 8 55 29 16
 9 18 65 11
 10 38 55 14
 11 29 9 4
 12 64 44 20
 13 26 14 20
 14 28 92 9
 15 51 17 8
 16 55 32 2
 17 32 55 6
 18 99 13 3
 19 72 6 13
 20 60 97 17
 21 37 29 8
 22 58 55 13
 23 79 15 6
 24 89 70 20
 25 95 2 2
 26 38 44 6
 27 1 81 10
 28 35 97 4
 29 79 14 9
 30 82 83 15
 31 28 55 3
 32 81 73 12
 33 16 12 16
 34 37 80 17
 35 18 15 12
 36 31 17 5
 37 96 81 15
 38 71 23 4
 39 50 66 10
 40 68 92 9
 41 42 72 15
 42 10 95 20
 43 68 36 10
 44 13 70 11
 45 54 18 15
 46 86 36 18
 47 75 70 11
 48 22 39 17
 49 25 48 4
 50 19 47 7
 51 9 9 3
 52 88 53 1
 53 13 91 2
 54 98 40 18
 55 79 73 19
 56 68 30 10
 57 96 76 14
 58 99 25 14
 59 77 29 3
 60 25 89 4
 61 89 28 11
 62 7 53 17
 63 54 59 5
 64 97 33 3
 65 30 54 2
 66 69 89 2
 67 62 17 8
 68 73 74 1
 69 33 23 13
 70 59 38 15
 71 74 84 8
 72 95 5 18
 73 15 40 11
 74 58 15 6
 75 67 12 1
 76 78 15 20
 77 88 19 1
 78 66 48 4
 79 68 67 8
 80 51 43 12
 81 21 42 11
 82 18 40 14
 83 85 65 9
 84 7 82 13
 85 69 13 13
 86 27 64 19
 87 86 91 3
 88 85 23 6
 89 71 13 9
 90 45 4 15
 91 65 34 9
 92 60 45 16
 93 22 40 19
 94 41 45 4
 95 67 89 15
 96 60 45 7
 97 6 47 16
 98 98 97 14
 99 80 76 15
 100 93 19 20
 13 1026
 100 10 120
 1 17 71 8
 2 56 13 5
 3 40 29 10
 4 53 6 20
 5 45 25 15
 6 82 65 16
 7 47 80 8
 8 60 70 6
 9 39 65 20
 10 67 93 2
 11 84 6 13
 12 86 18 3
 13 80 42 18
 14 82 34 17
 15 20 95 20
 16 85 75 8
 17 10 90 9
 18 73 100 18
 19 15 36 17
 20 65 51 6
 21 57 46 7
 22 73 12 12
 23 58 65 1
 24 84 73 3
 25 35 51 8
 26 38 73 15
 27 70 89 2
 28 70 56 13
 29 7 63 7
 30 93 90 9
 31 77 14 7
 32 55 18 18
 33 17 45 6
 34 4 38 14
 35 57 64 14
 36 26 45 9
 37 93 62 9
 38 63 68 7
 39 48 90 18
 40 100 94 10
 41 17 59 13
 42 100 57 8
 43 29 81 3
 44 15 39 9
 45 69 44 19
 46 4 4 15
 47 69 61 9
 48 39 67 11
 49 29 58 1
 50 70 69 12
 51 46 82 17
 52 99 10 10
 53 59 39 8
 54 61 55 5
 55 32 11 8
 56 28 25 18
 57 46 84 9
 58 88 33 10
 59 50 14 13
 60 35 21 15
 61 18 99 4
 62 14 18 8
 63 95 30 19
 64 83 21 3
 65 28 48 4
 66 74 74 6
 67 29 34 20
 68 98 77 2
 69 4 92 9
 70 6 79 4
 71 45 9 3
 72 91 20 12
 73 73 23 12
 74 17 23 10
 75 90 94 13
 76 97 63 7
 77 48 93 4
 78 53 55 13
 79 72 37 10
 80 37 40 17
 81 86 36 10
 82 94 67 2
 83 22 39 5
 84 95 91 11
 85 19 82 7
 86 68 34 7
 87 36 89 7
 88 16 95 16
 89 45 67 5
 90 84 86 18
 91 72 99 11
 92 25 41 20
 93 96 36 9
 94 80 26 19
 95 34 25 15
 96 57 43 13
 97 71 38 13
 98 92 100 13
 99 7 86 3
 100 14 6 8
 14 982
 100 10 120
 1 2 4 17
 2 98 70 18
 3 88 78 5
 4 20 49 6
 5 14 77 17
 6 19 47 6
 7 77 38 7
 8 54 53 2
 9 98 13 12
 10 41 47 15
 11 40 63 11
 12 44 98 13
 13 16 60 13
 14 44 43 6
 15 35 56 7
 16 18 47 5
 17 93 29 10
 18 24 7 20
 19 7 23 9
 20 86 12 4
 21 64 33 3
 22 15 8 14
 23 11 7 2
 24 17 18 1
 25 32 68 6
 26 72 97 14
 27 62 68 18
 28 83 62 17
 29 55 40 4
 30 30 86 7
 31 2 5 16
 32 76 69 17
 33 46 38 17
 34 23 26 8
 35 82 24 15
 36 91 36 2
 37 89 42 20
 38 84 72 8
 39 69 50 4
 40 75 73 19
 41 79 86 20
 42 99 51 9
 43 68 79 1
 44 52 37 8
 45 79 56 17
 46 41 10 7
 47 60 77 3
 48 12 61 19
 49 97 37 3
 50 70 75 1
 51 67 22 5
 52 65 72 15
 53 77 1 12
 54 98 87 20
 55 26 93 13
 56 76 14 12
 57 15 42 9
 58 28 43 5
 59 89 93 14
 60 53 49 9
 61 89 46 15
 62 57 25 12
 63 39 27 16
 64 16 64 16
 65 10 18 16
 66 53 29 12
 67 25 19 6
 68 31 68 16
 69 94 44 3
 70 94 76 6
 71 14 71 2
 72 8 81 12
 73 45 96 11
 74 83 34 3
 75 66 67 10
 76 78 19 17
 77 66 86 13
 78 26 15 7
 79 23 22 3
 80 25 71 20
 81 82 60 14
 82 81 81 5
 83 22 78 3
 84 2 72 14
 85 87 38 18
 86 79 34 11
 87 19 31 17
 88 3 67 13
 89 5 95 19
 90 6 6 3
 91 41 18 19
 92 12 71 5
 93 71 88 16
 94 61 37 2
 95 50 39 12
 96 15 22 11
 97 36 27 6
 98 79 52 13
 99 28 21 14
 100 85 29 8
 15 1091
 100 10 120
 1 13 11 4
 2 36 98 6
 3 18 51 18
 4 39 1 13
 5 89 88 9
 6 33 36 7
 7 6 80 2
 8 46 82 3
 9 21 78 12
 10 92 56 15
 11 21 17 14
 12 4 70 17
 13 80 79 10
 14 31 5 15
 15 93 24 16
 16 56 52 7
 17 50 72 15
 18 1 23 1
 19 8 69 9
 20 42 16 18
 21 62 78 14
 22 47 6 18
 23 22 79 15
 24 10 84 13
 25 51 59 13
 26 37 63 16
 27 11 38 6
 28 13 41 17
 29 36 60 19
 30 62 65 8
 31 24 32 5
 32 65 57 17
 33 9 5 18
 34 5 87 18
 35 65 30 5
 36 66 1 10
 37 51 21 15
 38 77 47 14
 39 91 18 3
 40 3 51 10
 41 63 23 4
 42 19 38 8
 43 27 69 2
 44 8 98 9
 45 19 27 14
 46 81 49 18
 47 1 63 20
 48 99 39 17
 49 30 17 9
 50 62 89 4
 51 96 45 17
 52 75 74 5
 53 36 54 17
 54 21 95 4
 55 27 29 5
 56 92 82 7
 57 14 23 2
 58 60 38 13
 59 28 51 20
 60 99 6 20
 61 100 33 1
 62 70 27 13
 63 65 56 19
 64 49 21 9
 65 35 53 20
 66 51 99 1
 67 61 35 6
 68 76 100 12
 69 28 96 3
 70 96 5 12
 71 47 5 8
 72 39 73 3
 73 39 43 20
 74 50 97 6
 75 28 35 5
 76 38 82 6
 77 78 17 18
 78 30 94 5
 79 63 8 19
 80 97 23 9
 81 25 92 1
 82 20 61 6
 83 77 32 13
 84 17 93 11
 85 66 56 14
 86 35 61 3
 87 76 1 4
 88 96 19 19
 89 55 7 9
 90 44 19 5
 91 93 85 3
 92 19 87 15
 93 84 4 14
 94 76 68 7
 95 45 79 5
 96 15 65 4
 97 80 49 3
 98 86 92 5
 99 13 81 20
 100 88 17 14
 16 954
 100 10 120
 1 6 29 4
 2 84 85 11
 3 44 25 7
 4 27 68 4
 5 45 43 19
 6 55 89 16
 7 64 73 1
 8 80 85 1
 9 53 52 10
 10 29 46 17
 11 22 22 13
 12 99 87 16
 13 51 22 19
 14 17 49 19
 15 76 63 3
 16 94 38 9
 17 5 23 7
 18 29 70 12
 19 38 84 19
 20 30 69 3
 21 7 87 6
 22 37 45 19
 23 55 60 3
 24 73 53 7
 25 16 75 6
 26 57 96 7
 27 69 28 8
 28 53 33 2
 29 79 29 7
 30 46 6 4
 31 41 71 20
 32 54 87 8
 33 7 13 19
 34 30 28 6
 35 41 76 8
 36 15 39 6
 37 36 59 18
 38 33 47 5
 39 10 6 7
 40 51 11 3
 41 38 99 19
 42 38 78 8
 43 94 48 12
 44 98 25 15
 45 19 94 3
 46 64 13 20
 47 37 69 12
 48 70 45 11
 49 73 56 9
 50 55 10 6
 51 55 56 9
 52 38 59 5
 53 10 58 10
 54 99 25 18
 55 68 54 8
 56 31 11 4
 57 52 53 12
 58 58 87 8
 59 6 98 19
 60 44 74 14
 61 97 68 19
 62 15 20 6
 63 86 37 20
 64 84 69 2
 65 56 6 9
 66 50 7 13
 67 51 52 10
 68 14 20 12
 69 49 34 6
 70 21 97 7
 71 83 69 3
 72 31 66 9
 73 81 67 16
 74 77 55 11
 75 85 68 20
 76 57 3 4
 77 79 49 17
 78 78 61 4
 79 27 75 16
 80 44 78 8
 81 2 19 10
 82 44 42 16
 83 65 65 2
 84 9 27 13
 85 17 83 18
 86 17 65 1
 87 29 41 10
 88 78 52 15
 89 44 69 12
 90 39 51 20
 91 76 21 11
 92 55 44 6
 93 74 81 19
 94 58 56 20
 95 16 10 8
 96 1 52 8
 97 49 45 18
 98 45 77 9
 99 2 70 19
 100 44 92 12
 17 1034
 100 10 120
 1 90 32 5
 2 82 53 19
 3 90 60 13
 4 22 98 12
 5 72 67 14
 6 71 22 20
 7 63 76 11
 8 67 85 1
 9 86 36 14
 10 63 7 17
 11 34 38 5
 12 71 22 20
 13 95 32 18
 14 13 77 16
 15 79 62 13
 16 35 4 12
 17 77 8 6
 18 97 16 20
 19 60 77 20
 20 26 2 8
 21 89 8 16
 22 9 10 14
 23 99 72 20
 24 56 55 15
 25 90 78 11
 26 68 83 20
 27 10 30 2
 28 79 92 16
 29 39 76 17
 30 59 69 9
 31 3 62 10
 32 9 10 9
 33 61 74 3
 34 74 32 17
 35 64 30 17
 36 53 87 18
 37 76 58 13
 38 88 36 5
 39 92 69 16
 40 65 50 2
 41 5 15 10
 42 44 46 9
 43 12 92 3
 44 20 69 16
 45 40 17 16
 46 62 82 5
 47 57 3 11
 48 3 16 7
 49 83 3 6
 50 62 13 8
 51 16 96 9
 52 22 47 4
 53 54 45 5
 54 11 100 13
 55 52 43 2
 56 34 48 5
 57 70 19 13
 58 82 72 6
 59 87 89 14
 60 91 4 7
 61 89 60 17
 62 41 58 10
 63 60 26 8
 64 13 31 4
 65 26 16 17
 66 45 54 6
 67 47 74 11
 68 63 37 20
 69 36 97 19
 70 60 38 1
 71 60 45 1
 72 61 37 15
 73 64 12 1
 74 2 26 12
 75 1 7 14
 76 99 6 19
 77 70 5 7
 78 92 78 14
 79 100 41 9
 80 86 73 5
 81 17 83 5
 82 31 36 15
 83 5 89 10
 84 6 72 3
 85 26 38 7
 86 97 21 8
 87 61 98 5
 88 98 19 18
 89 9 60 9
 90 56 57 15
 91 36 59 15
 92 52 46 4
 93 60 51 15
 94 92 54 4
 95 31 35 1
 96 28 74 3
 97 23 21 1
 98 62 27 10
 99 56 89 12
 100 88 29 20
 18 1043
 100 10 120
 1 3 60 4
 2 68 49 8
 3 81 53 9
 4 62 94 12
 5 1 57 10
 6 7 98 14
 7 24 94 14
 8 59 95 12
 9 19 13 1
 10 70 86 3
 11 94 60 20
 12 66 72 17
 13 70 88 11
 14 98 85 14
 15 4 34 19
 16 47 90 10
 17 71 64 12
 18 97 94 16
 19 51 53 13
 20 91 66 14
 21 83 50 2
 22 30 65 12
 23 90 57 17
 24 11 21 4
 25 72 17 13
 26 72 26 3
 27 32 76 10
 28 18 21 6
 29 84 89 3
 30 41 93 20
 31 51 64 1
 32 51 14 3
 33 47 72 8
 34 90 83 4
 35 21 73 18
 36 86 65 5
 37 86 23 13
 38 76 17 10
 39 67 74 12
 40 7 75 20
 41 55 72 18
 42 89 13 17
 43 28 24 14
 44 54 6 6
 45 94 81 1
 46 59 79 3
 47 54 68 1
 48 28 89 13
 49 1 46 20
 50 21 97 7
 51 4 95 18
 52 76 29 4
 53 23 50 17
 54 60 2 8
 55 79 31 2
 56 37 8 20
 57 65 50 4
 58 17 51 2
 59 62 78 3
 60 62 80 20
 61 17 17 8
 62 65 90 4
 63 81 98 9
 64 2 53 15
 65 8 12 18
 66 57 14 16
 67 93 37 18
 68 56 72 17
 69 66 13 19
 70 42 17 16
 71 85 97 18
 72 5 97 6
 73 4 78 12
 74 42 42 7
 75 89 49 2
 76 96 67 5
 77 26 59 15
 78 13 22 17
 79 27 92 5
 80 11 68 5
 81 47 54 13
 82 58 8 12
 83 59 52 20
 84 90 81 11
 85 37 7 12
 86 21 5 19
 87 68 29 20
 88 35 39 2
 89 79 49 15
 90 46 87 5
 91 48 84 1
 92 78 67 8
 93 46 84 6
 94 100 18 17
 95 17 76 12
 96 13 20 18
 97 2 19 3
 98 73 56 12
 99 55 31 2
 100 6 16 16
 19 1031
 100 10 120
 1 9 8 8
 2 86 64 16
 3 90 48 9
 4 68 41 12
 5 20 31 15
 6 72 59 5
 7 12 36 3
 8 37 35 10
 9 23 90 12
 10 45 58 16
 11 12 25 3
 12 44 95 15
 13 34 43 20
 14 34 18 2
 15 36 32 5
 16 58 72 12
 17 69 88 5
 18 3 32 20
 19 44 32 6
 20 24 34 20
 21 87 27 19
 22 36 57 3
 23 65 43 3
 24 31 98 6
 25 7 15 4
 26 35 83 5
 27 21 96 2
 28 91 85 10
 29 93 6 10
 30 42 47 20
 31 19 9 7
 32 49 41 1
 33 1 98 20
 34 74 94 18
 35 12 45 19
 36 1 85 14
 37 6 62 15
 38 82 72 5
 39 32 70 16
 40 38 10 11
 41 85 75 13
 42 28 81 15
 43 86 2 14
 44 4 25 8
 45 84 36 13
 46 76 62 18
 47 26 57 8
 48 76 39 18
 49 35 86 14
 50 5 31 2
 51 83 80 11
 52 63 94 9
 53 60 16 12
 54 44 49 11
 55 75 85 11
 56 17 34 4
 57 32 69 11
 58 22 51 11
 59 79 73 17
 60 73 23 16
 61 10 37 11
 62 34 2 8
 63 77 52 13
 64 2 9 16
 65 39 52 18
 66 32 9 20
 67 61 52 3
 68 80 26 2
 69 23 69 12
 70 33 72 9
 71 21 27 8
 72 84 41 8
 73 63 46 8
 74 41 79 5
 75 89 59 10
 76 97 48 12
 77 68 14 14
 78 93 41 6
 79 58 48 10
 80 43 3 6
 81 28 42 11
 82 23 81 18
 83 69 100 18
 84 27 4 10
 85 63 98 15
 86 43 58 7
 87 66 11 5
 88 7 15 12
 89 38 1 9
 90 43 33 16
 91 21 37 17
 92 78 29 15
 93 45 67 10
 94 11 90 10
 95 23 68 15
 96 71 84 1
 97 54 51 9
 98 73 86 16
 99 46 86 5
 100 83 15 9
 20 1005
 100 10 120
 1 2 62 5
 2 80 25 8
 3 36 88 2
 4 57 23 8
 5 33 17 18
 6 76 43 20
 7 77 85 17
 8 94 6 9
 9 89 11 1
 10 59 72 19
 11 39 82 10
 12 87 24 20
 13 44 76 4
 14 2 83 5
 15 19 43 5
 16 5 27 14
 17 58 72 19
 18 14 50 19
 19 43 18 4
 20 87 7 16
 21 11 56 14
 22 31 16 13
 23 51 94 18
 24 55 13 14
 25 84 57 13
 26 12 2 13
 27 53 33 14
 28 53 10 7
 29 33 32 15
 30 69 67 3
 31 43 5 6
 32 10 75 10
 33 8 26 20
 34 3 1 13
 35 96 22 7
 36 6 48 3
 37 59 22 18
 38 66 69 13
 39 22 50 14
 40 75 21 7
 41 4 81 8
 42 41 97 16
 43 92 34 18
 44 12 64 9
 45 60 84 8
 46 35 100 12
 47 38 2 19
 48 9 9 13
 49 54 59 19
 50 1 58 12
 51 15 66 5
 52 3 66 2
 53 94 10 7
 54 68 30 4
 55 35 27 12
 56 46 86 13
 57 11 29 5
 58 100 17 19
 59 70 55 7
 60 94 73 1
 61 75 16 12
 62 62 65 17
 63 21 80 4
 64 11 31 3
 65 70 81 19
 66 15 13 10
 67 58 69 6
 68 100 62 10
 69 47 42 11
 70 28 87 19
 71 31 96 12
 72 41 2 2
 73 37 22 18
 74 1 34 6
 75 44 9 12
 76 58 7 17
 77 44 37 20
 78 18 3 16
 79 3 87 16
 80 1 77 7
 81 95 72 16
 82 10 66 15
 83 28 94 16
 84 45 26 19
 85 68 62 13
 86 41 86 15
 87 41 30 11
 88 8 99 18
 89 78 55 4
 90 10 30 12
 91 13 62 16
 92 95 24 19
 93 50 77 1
 94 78 20 3
 95 87 67 10
 96 45 19 13
 97 36 90 6
 98 4 31 7
 99 70 56 1
 100 18 34 5
